SalesID,Product,Region,Sales,Profit,Year,Date
1,Laptop,North,55000,8000,2024,2024-01-31
2,Mobile,South,32000,5000,2024,2024-02-29
3,Tablet,East,28000,4500,2024,2024-03-31
4,Headphones,West,12000,2000,2024,2024-04-30
5,Keyboard,North,8000,1500,2024,2024-05-31
6,Laptop,South,60000,9000,2025,2024-06-30
7,Mobile,East,35000,5500,2025,2024-07-31
8,Tablet,West,30000,4800,2025,2024-08-31
9,Headphones,North,15000,2500,2025,2024-09-30
10,Keyboard,South,9000,1600,2025,2024-10-31
11,Laptop,East,58000,8500,2024,2024-11-30
12,Mobile,West,37000,5700,2024,2024-12-31
13,Tablet,North,31000,5000,2024,2025-01-31
14,Headphones,South,14000,2300,2024,2025-02-28
15,Keyboard,East,8500,1700,2024,2025-03-31
16,Laptop,West,62000,9500,2025,2025-04-30
17,Mobile,North,34000,5200,2025,2025-05-31
18,Tablet,South,29000,4600,2025,2025-06-30
19,Headphones,East,16000,2700,2025,2025-07-31
20,Keyboard,West,9500,1800,2025,2025-08-31
